CountyName,ResponseTime,EmergencyStations,Population,Area,Urban
Nashville,5.4,249,678448,526,1
FortWorth,5.5,514,874401,356,1
Houston,5.5,178,2310000,669,1
Boston,6.4,54,684379,90,1
SanAntonio,6.5,74,1508000,505,1
LasVegas,6.8,199,634773,136,1
DC,6.9,50,692683,68,1
SanJose,7.1,50,1028000,181,1
Austin,7.2,70,950807,272,1
SanFrancisco,7.4,60,874961,47,1
Dallas,7.8,58,1331000,383,1
NewYorkCity,8.1,280,8419000,303,1
Seattle,10,268,724305,84,1
Philadelphia,10.9,94,1579000,142,1
Denver,11.6,59,705576,155,1
LA,4.73,186,3967000,503,1
Montana,22.56,336,1069000,147040,0.5
NorthDakota,21.5,373,762062,70762,0.5
Kansas,21.31,203,2913000,82277,0.5
ClayCounty,11.48,192,219252,644,0.5
NapaCounty,15,429,137744,789,0.5